x,y,yaw,steeringAngle,velocity,srate
-98.5242,-500.307,1.13345,0.00500462,-0.357721,-0.000891556
-98.5318,-500.324,1.13341,0.0049795,-0.180931,-0.00025125
-98.5359,-500.332,1.13338,0.00497414,-0.0952636,-5.35779e-05
-98.5374,-500.336,1.13337,0.00497414,-0.0358011,0
-98.5383,-500.338,1.13337,0.00497414,-0.0227941,0
-98.539,-500.339,1.13336,0.00497414,-0.0145127,0
-98.5394,-500.34,1.13336,0.00497414,-0.00924012,0
-98.5396,-500.34,1.13336,0.00497414,-0.0058831,0
-98.5398,-500.341,1.13336,0.00497414,-0.00374572,0
-98.5399,-500.341,1.13336,0.00497414,-0.00238487,0
-98.5399,-500.341,1.13336,0.00497414,-0.00151843,0
-98.54,-500.341,1.13336,0.00497414,-0.000966771,0
-98.54,-500.341,1.13336,0.00497414,-0.000615535,0
-98.54,-500.341,1.13336,0.00497414,-0.000391906,0
-98.54,-500.341,1.13336,0.00497414,-0.000249524,-1.89864e-17
-98.54,-500.341,1.13336,0.00497414,-0.00015887,0
-98.54,-500.341,1.13336,0.00497414,-0.000101151,0
-98.54,-500.341,1.13336,0.00497414,-6.44022e-05,-4.9004e-18
-98.54,-500.341,1.13336,0.00497414,-4.10044e-05,-3.12005e-16
-98.54,-500.341,1.13336,0.00497414,-2.61072e-05,0
-98.54,-500.341,1.13336,0.00497414,-1.66222e-05,-1.2648e-17
-98.54,-500.341,1.13336,0.00497414,-1.05832e-05,0
-98.54,-500.341,1.13336,0.00497414,-6.73827e-06,-5.12719e-16
-98.54,-500.341,1.13336,0.00497414,-4.2902e-06,-1.63222e-17
-98.54,-500.341,1.13336,0.00497414,-2.73154e-06,-2.07844e-16
-98.54,-500.341,1.13336,0.00497414,-1.73915e-06,-1.32333e-15
-98.54,-500.341,1.13336,0.00497414,-1.1073e-06,0
-98.54,-500.341,1.13336,0.00497414,-7.05011e-07,-5.36447e-16
-98.54,-500.341,1.13336,0.00497414,-4.48875e-07,-3.41552e-17
-98.54,-500.341,1.13336,0.00497414,-2.85795e-07,-2.17463e-16
-98.54,-500.341,1.13336,0.00497414,-1.81964e-07,-1.38457e-15
-98.54,-500.341,1.13336,0.00497414,-1.15854e-07,0
-98.54,-500.341,1.13336,0.00497414,-7.37639e-08,-5.6127e-16
-98.54,-500.341,1.13336,0.00497414,-4.69647e-08,0
-98.54,-500.341,1.13336,0.00497414,-2.99022e-08,-2.27528e-16
-98.54,-500.341,1.13336,0.00497414,-1.90385e-08,0
-98.54,-500.341,1.13336,0.00497414,-1.21221e-08,-9.22335e-16
-98.54,-500.341,1.13336,0.00497414,-7.71797e-09,-5.87232e-16
-98.54,-500.341,1.13336,0.00497414,-4.91373e-09,0
-98.54,-500.341,1.13336,0.00497414,-3.12871e-09,-2.38043e-16
